name,symbol,category,n_obs,pearson,spearman
kospi_index,^KS11,home_market_equity,3937,0.6507587460579171,0.5255628430102837
kosdaq_index,^KQ11,home_market_equity,3937,0.4695732907776421,0.3521130532078979
south_korea,EWY,country_etf,3937,0.34226675785704624,0.2999400332813603
emerging_markets,VWO,country_etf,3937,0.2004430455774109,0.16992755933772138
developed_ex_us,VEA,country_etf,3937,0.17628219872685547,0.15224365560049968
semis_vaneck,SMH,us_industry_etf,3937,0.1645295151900251,0.14332618618060952
japan,EWJ,country_etf,3937,0.17100579602472146,0.13847035621158718
semis_ishares,SOXX,us_industry_etf,3937,0.15302545771424061,0.13622072432525184
netherlands,EWN,country_etf,3937,0.14603954632850394,0.13568003413561325
all_country,ACWI,country_etf,3937,0.15821947735621794,0.13213143357181495
eafe,EFA,country_etf,3937,0.1603293008125031,0.13126769926878262
australia,EWA,country_etf,3937,0.1570186761332035,0.11825976892054314
germany,EWG,country_etf,3937,0.1337438843855252,0.11006270408584498
tech_sector,XLK,us_sector_etf,3937,0.12769723220325335,0.10670525890825834
united_kingdom,EWU,country_etf,3937,0.14173102462677106,0.10606687746577673
russell_1000_growth,IWF,broad_index_etf,3937,0.12501500579238325,0.10568868304620219
france,EWQ,country_etf,3937,0.13666517734645364,0.10524802794768856
usd_krw,KRW=X,fx,3937,-0.13927779778265417,-0.10740429238911985
