date,skhynix,kospi,krw,dxy,smh,gold,mag7,skh_volume
2015-01-05,41325.140625,1915.75,1111.0,91.37999725341797,23.860279083251953,1203.9000244140625,97.82458798906715,1409146.0
2015-01-06,41195.046875,1882.449951171875,1108.5,91.5,23.298545837402344,1219.300048828125,96.41660221987634,1661196.0
2015-01-07,41108.32421875,1883.8299560546875,1097.300048828125,91.88999938964844,23.60170555114746,1210.5999755859375,96.8303806718049,1821266.0
2015-01-08,43319.83984375,1904.6500244140625,1097.800048828125,92.37000274658203,24.190185546875,1208.4000244140625,98.76753628894043,5006675.0
2015-01-09,43103.0234375,1924.699951171875,1094.300048828125,91.94000244140625,24.118852615356445,1216.0,98.03546566633909,3313929.0
2015-01-12,43623.38671875,1920.949951171875,1081.800048828125,91.9800033569336,23.811237335205078,1232.699951171875,96.49007524912555,1709997.0
2015-01-13,42495.94140625,1917.1400146484375,1081.4000244140625,92.30999755859375,23.6774959564209,1234.300048828125,96.89779661066541,3047952.0
2015-01-14,42409.21484375,1913.6600341796875,1077.0999755859375,92.16000366210938,23.588329315185547,1234.4000244140625,95.99240351297179,2241954.0
2015-01-15,42929.578125,1914.1400146484375,1082.0,92.3499984741211,23.717615127563477,1264.699951171875,94.56793027122589,1468474.0
2015-01-16,41151.68359375,1888.1300048828125,1075.5,92.5199966430664,23.909320831298828,1276.9000244140625,95.57555219759892,4820176.0
2015-01-20,40804.78515625,1918.31005859375,1079.0999755859375,93.05000305175781,24.14560317993164,1294.199951171875,96.04432639654914,2211331.0
2015-01-21,41672.04296875,1921.22998046875,1086.699951171875,92.9000015258789,24.457679748535156,1293.699951171875,97.26834301308105,2156709.0
2015-01-22,40761.421875,1920.8199462890625,1081.9000244140625,94.23999786376953,24.676128387451172,1300.699951171875,99.8155105391211,2905955.0
2015-01-23,41195.046875,1936.0899658203125,1084.699951171875,95.0,24.56913185119629,1292.5999755859375,100.1733685405086,1572903.0
2015-01-26,41845.49609375,1935.6800537109375,1084.5,94.80000305175781,24.573593139648438,1279.4000244140625,100.11856188420344,1410144.0
2015-01-27,42626.03125,1952.4000244140625,1079.300048828125,94.0199966430664,24.08319091796875,1291.699951171875,96.66185566996852,2292330.0
2015-01-28,42669.38671875,1961.5799560546875,1076.699951171875,94.47000122070312,23.878110885620117,1285.9000244140625,95.98311495896478,2333159.0
2015-01-29,41108.32421875,1951.02001953125,1084.4000244140625,94.77999877929688,24.011857986450195,1254.5999755859375,98.10679484724987,5020783.0
2015-01-30,41325.140625,1949.260009765625,1098.800048828125,94.80000305175781,23.508079528808594,1278.5,98.89796067710925,2743159.0
2015-02-02,40414.5,1952.6800537109375,1099.0,94.5,23.552663803100586,1276.199951171875,100.27118500610135,3258140.0
2015-02-03,40501.23046875,1951.9599609375,1098.0999755859375,93.5999984741211,23.887027740478516,1259.699951171875,101.30958831239202,2513399.0
2015-02-04,41021.5859375,1962.7900390625,1091.300048828125,93.98999786376953,24.056442260742188,1263.800048828125,101.44708844520353,1823018.0
2015-02-05,40891.5078125,1952.8399658203125,1087.5999755859375,94.69999694824219,24.297182083129883,1262.0,102.620104679971,1984849.0
2015-02-06,39460.52734375,1955.52001953125,1084.800048828125,94.69999694824219,24.03860855102539,1233.9000244140625,102.08059887596515,4547785.0
2015-02-09,39200.33203125,1947.0,1096.699951171875,94.44999694824219,23.72207260131836,1240.800048828125,101.87615896110538,2741040.0
2015-02-10,39156.97265625,1935.8599853515625,1094.0999755859375,94.76000213623047,24.502260208129883,1231.5999755859375,103.1017949770592,2254222.0
2015-02-11,40631.33203125,1945.699951171875,1097.5999755859375,94.98999786376953,24.644920349121094,1219.0,103.31021343973892,3231887.0
2015-02-12,40457.8671875,1941.6300048828125,1105.699951171875,94.08999633789062,24.99266242980957,1220.0999755859375,104.30543889713542,1903965.0
2015-02-13,40804.78515625,1957.5,1101.199951171875,94.19999694824219,25.139780044555664,1226.5,104.9462650268693,1354556.0
2015-02-17,40284.41796875,1961.449951171875,1100.199951171875,94.05999755859375,25.24677848815918,1208.0999755859375,104.68189502185167,1677139.0
2015-02-18,40284.41796875,1961.449951171875,1107.300048828125,94.19999694824219,25.16207504272461,1199.699951171875,104.67258267774722,1677139.0
2015-02-19,40284.41796875,1961.449951171875,1107.5999755859375,94.4000015258789,25.175445556640625,1207.0999755859375,106.04868308345523,1677139.0
2015-02-23,40934.875,1968.3900146484375,1109.0999755859375,94.56999969482422,25.10857582092285,1200.300048828125,106.08473912778116,2273267.0
2015-02-24,41281.76953125,1976.1199951171875,1107.699951171875,94.48999786376953,25.6257266998291,1196.9000244140625,105.85799699143979,1880503.0
2015-02-25,40327.77734375,1990.469970703125,1111.300048828125,94.20999908447266,25.451854705810547,1201.0,106.01303012654333,2633709.0
2015-02-26,40848.15234375,1993.0799560546875,1098.6800537109375,95.29000091552734,25.54547691345215,1209.5999755859375,106.99177291265592,1938544.0
2015-02-27,40414.5,1985.800048828125,1100.6700439453125,95.25,25.39835548400879,1212.5999755859375,105.9385229309095,2344677.0
